country,total,curriculum_laws,family_planning,sex_edu,hiv_rate,pregnancy_rate,contracept_prev,youth_hiv,matern_mort,total_life_exp,female_life_exp,percent_urban_pop,med_age,human_devel_index,democ,autoc,polity,inequality_coef,youth_depend_ratio,gend_ineq_index,phc_expend,gov_expend,gdp_capita,reprod_health_expend,family_plann_expend,state_frag_index,pop_count,youth_literacy_rate,poverty_rate,school_enroll_girls,income_group,region
Afghanistan,54,0,37,0,627050.2347,62.0,22.5,500,638,65.173,66.744,25.5,18.4,0.496,1,2,-1,28.2,79.3,0.575,57.147460939999995,25.87815857,569.93763031999993,591.98400000000004,6.2760000000000007,20,38041754,65.4205474853516,NA,39.9984016418457,Low income,Eastern Mediterranean
Albania,82,100,85,100,444447.2048,15.9,46,100,15,78.67178048780488,80.256,60.3,36.4,0.791,9,0,9,10.9,25.8,0.234,NA,29.140838619999993,4444.4692027699994,NA,NA,1,2854191,99.3300018310547,8.2,95.7046508789063,Upper middle income,Europe
Angola,66,0,100,0,704791.0262,163.0,13.7,9000,241,61.487,64.383,65.5,16.7,0.574,2,4,-2,31.7,91.8,0.578,NA,23.798482889999999,4100.2916958599999,NA,NA,16,31825295,77.4311294555664,73.2,NA,Lower middle income,Africa
Antigua and Barbuda,NA,0,33,0,498399.1011,27.7,NA,NA,42,77.146,78.232,24.6,34,0.776,NA,NA,NA,NA,31.9,NA,NA,22.496335980000005,14863.901269420001,NA,NA,NA,97118,NA,NA,109.070098876953,High income,Americas
Armenia,87,100,93,100,429057.6941,21.2,57.1,100,26,75.224,78.652,63.1,35.4,0.76,7,0,7,9.7,30.3,0.259,48.018951419999993,26.026630400000005,3933.6818387099993,11321.18,NA,6,2957731,99.8470230102539,8.1,84.8003768920898,Upper middle income,Europe
Australia,NA,0,93,0,449834.7714,10.1,66.9,100,6,83.5479512195122,85.524,86,37.9,0.938,10,0,10,7.9,29.5,0.103,37.971355439999996,35.646255489999994,57917.09709042,NA,NA,2,25364307,NA,NA,128.636001586914,High income,Western Pacific
Bangladesh,NA,100,0,94,575212.7055,74.0,62.3,NA,173,72.868,74.893,36.6,27.6,0.614,0,6,-6,23.6,41.3,0.536,NA,12.678335190000002,1595.3549202200002,NA,NA,11,163046161,93.2964401245117,52.5,78.2707290649414,Lower middle income,South-East Asia
Barbados,44,0,20,0,490633.1266,49.7,59.2,100,27,79.308,80.579,31.1,40.5,0.813,NA,NA,NA,16,25.9,0.256,63.706989290000003,32.999298099999997,17462.961861129996,NA,NA,NA,287025,99.9000015258789,NA,105.752891540527,High income,Americas
Belarus,87,100,100,100,436095.4776,14.2,72.1,200,2,74.64902439024392,79.688,78.6,40.3,0.817,0,7,-7,6.3,24.7,0.119,NA,39.041873930000001,5779.8222908000007,NA,NA,5,9466856,99.8499984741211,0,101.690742492676,Upper middle income,Europe
Belgium,NA,100,100,100,488710.0915,5.9,66.8,NA,5,81.70673170731709,84.007,98,41.9,0.919,8,0,8,7.6,26.6,0.045,39.031116489999995,52.13076018999999,43597.061799449999,NA,NA,2,11484055,NA,0.2,165.281265258789,High income,Europe
Belize,42,0,0,50,501902.1311,64.3,51.4,NA,36,74.754,77.991,45.7,25.5,0.72,NA,NA,NA,21.6,46.6,0.391,NA,34.899330139999996,4970.8952415500007,NA,NA,NA,390353,NA,NA,87.1159133911133,Upper middle income,Americas
Benin,91,100,77,100,557419.8069,108.0,15.5,1100,397,62.077,63.646,47.3,18.8,0.52,7,0,7,36.9,78.2,0.613,NA,24.370622630000007,827.37034086999995,11124.576999999999,201.03200000000001,10,11801151,60.9480781555176,76.3,NA,Low income,Africa
Botswana,NA,100,93,94,541408.5187,50.0,52.8,3200,144,69.793,72.604,69.4,24,0.728,8,0,8,NA,55.3,0.464,32.904975889999996,32.422180180000005,7595.144753739999,845.1,18.811,3,2303697,97.4562911987305,36.5,NA,Upper middle income,Africa
Burkina Faso,72,100,52,75,623880.1328,132.3,31.7,1000,320,61.981,62.724,29.4,17.6,0.434,7,1,6,29.5,85.4,0.612,82.53161621000001,29.969001770000006,642.12736760999996,48486.12,500,16,20321378,58.2900009155273,NA,40.7299995422363,Low income,Africa
Burundi,64,0,38,50,534435.3979,58.2,28.5,500,548,61.916,63.721,13,17.3,0.423,2,3,-1,29.6,87.1,0.52,82.040679929999982,21.802604679999995,312.60677268999996,21650.799999999999,3725.1970000000001,21,11530580,88.2217712402344,NA,51.0896797180176,Low income,Africa
Cambodia,98,100,100,100,489663.8513,57.4,56.3,200,160,70.054,72.163,23.4,25.6,0.581,0,4,-4,19.9,48.6,0.474,69.379684449999999,23.175714490000001,1386.6881210499996,200046.6,NA,10,16486542,92.2123565673828,NA,NA,Lower middle income,Western Pacific
Cameroon,NA,0,100,0,642422.9319,119.0,34.4,5400,529,59.626,60.904,56.4,18.7,0.563,1,5,-4,34.1,78,0.566,NA,19.827178960000001,1451.86567341,NA,NA,16,25876380,85.0800018310547,47,NA,Lower middle income,Africa
Central African Republic,77,100,70,94,750449.6452,229.0,15.2,1700,829,53.679,55.932,41.4,17.6,0.381,7,1,6,41.3,83.8,0.682,NA,14.826711650000002,414.82286524000011,NA,NA,23,4745185,38.2686500549316,NA,NA,Low income,Africa
Chad,75,0,100,0,665438.1378,179.4,5.7,1700,1140,54.505,55.945,23.1,16.6,0.401,1,3,-2,37.4,93.5,0.701,NA,15.160080910000001,662.55552177000004,NA,NA,19,15946876,30.7916107177734,66.3,13.8878898620605,Low income,Africa
China,NA,NA,100,NA,414911.0224,9.2,84.5,NA,29,77.12763414634146,79.411,59.2,38.4,0.758,0,7,-7,15.6,25.1,0.163,NA,32.179500580000003,8557.7378129499994,NA,NA,7,1397715000,99.7835998535156,5.4,NA,Upper middle income,Western Pacific
Colombia,97,100,100,100,573437.6657,61.0,81,1400,83,77.46,80.173,80.8,31.3,0.761,7,0,7,22.4,33.7,0.411,NA,28.019405360000007,6354.5494001999996,NA,NA,11,50339443,98.8516464233398,11.1,100.091453552246,Upper middle income,Americas
Congo,53,0,92,0,645597.084,111.3,30.1,2500,378,64.804,66.287,66.9,19.2,0.609,0,4,-4,24.9,75.2,0.579,55.196319580000001,35.123832700000008,1705.7664787399997,33032.683999999994,398.03000000000003,13,5380508,82.0547866821289,62.6,NA,Lower middle income,Africa
Costa Rica,62,0,67,0,521663.6415,50.4,77.8,200,27,80.465,83.045,79.3,33.5,0.794,10,0,10,18.8,30.8,0.285,45.317276000000007,20.022039410000001,11858.396182639999,NA,NA,1,5047561,99.4300003051758,2.9,137.749526977539,Upper middle income,Americas
Cote d'Ivoire,63,0,100,0,601722.8618,123.3,23.3,2800,617,58.104,59.455,50.8,18.9,0.516,5,1,4,35,76,0.657,77.161285400000011,24.871562959999999,1566.3306749299998,66650.790000000008,20257.579999999998,16,25716544,58.4201507568359,59.1,44.3489303588867,Lower middle income,Africa
Czech Republic,70,100,0,100,465171.664,12.1,86.3,NA,3,79.43760975609757,82.058,73.8,43.2,0.891,9,0,9,4.5,24,0.137,34.603733060000003,38.943927760000008,20409.98411139,NA,NA,1,10669709,99.7858810424805,0.1,102.518440246582,High income,Europe
North Korea,83,100,100,63,459053.5028,1.0,78.2,NA,89,72.453,75.932,61.9,35.3,NA,0,10,-10,NA,28.7,NA,NA,NA,NA,NA,NA,7,25666161,99.999641418457,NA,NA,Low income,South-East Asia
Democratic Republic of the Congo,NA,NA,85,NA,656145.1086,138.1,20.4,6700,473,60.971,62.54,44.5,17,0.459,1,4,-3,30.9,90.8,0.655,58.726322170000003,11.890402790000003,488.38902397000004,24464.560000000001,984.05799999999999,24,86790567,84.9895095825195,91.4,NA,Low income,Africa
Denmark,90,100,85,100,494481.341,2.8,NA,NA,4,80.98724390243902,82.972,87.9,42.3,0.93,10,0,10,6,25.8,0.04,37.966415410000003,51.157749180000003,57380.207909639998,NA,NA,0,5818553,NA,0.2,129.7060546875,High income,Europe
Egypt,44,0,37,0,481266.9882,51.8,58.5,1000,37,72.15,74.53,42.7,24.6,0.7,0,4,-4,28.8,55.4,0.45,54.452526089999978,32.189914699999996,2000.2972311199999,NA,NA,10,100388073,88.1925582885742,28.9,87.3008804321289,Lower middle income,Eastern Mediterranean
El Salvador,83,100,100,100,554836.026,74.0,72,200,46,73.533,78.037,72,27.6,0.667,8,0,8,21.6,42,0.397,NA,23.940950389999998,3908.5253297599993,NA,NA,4,6453553,97.9737167358398,8.7,71.4232635498047,Lower middle income,Americas
Equatorial Guinea,NA,0,NA,0,668516.3293,176.0,12.6,1200,301,59.057,60.25,72.1,22.3,0.588,0,6,-6,NA,61.4,NA,NA,19.87998009,9692.337812239999,NA,NA,12,1355986,97.967041015625,NA,NA,Upper middle income,Africa
Finland,98,100,100,100,505575.8508,4.9,85.5,NA,3,82.00736585365856,84.848,85.4,43.1,0.925,10,0,10,5.2,26,0.05,46.800170899999998,54.188625340000009,45680.138545279995,NA,NA,0,5520314,NA,0.1,162.63883972168,High income,Europe
Gabon,58,100,22,100,648306.6611,91.0,31.1,500,252,66.69,68.931,89.4,22.5,0.702,4,1,3,22.5,62.3,0.534,53.661823269999992,18.114084240000004,7353.8633498299996,34864.949999999997,621.29499999999996,8,2172579,89.7836608886719,11.2,NA,Upper middle income,Africa
Gambia,83,100,100,100,488945.0974,86.0,9,500,597,62.383,63.827,61.3,17.8,0.466,4,0,4,36.4,83.3,0.62,NA,24.549119949999998,709.07437132000007,54.81600000000001,8.4190000000000005,15,2347706,67.161376953125,38.4,NA,Low income,Africa
Georgia,93,100,100,94,368474.3048,32.3,53.4,NA,25,73.78360975609756,78.273,58.6,38.3,0.786,8,1,7,11.6,30.3,0.351,46.168560030000009,29.719659810000003,3855.1265782199998,NA,NA,5,3720382,99.6408081054688,16.1,106.77725982666,Lower middle income,Europe
Germany,NA,NA,85,NA,489392.5461,5.7,80.3,NA,7,81.43041463414635,83.849,77.3,45.7,0.939,10,0,10,8.1,21,0.084,47.926921839999991,43.93315887,44754.388096929993,NA,NA,1,83132799,NA,0.2,94.5529708862305,High income,Europe
Greece,54,0,33,0,485534.3659,8.6,NA,NA,3,82.34360975609756,84.796,79.1,45.5,0.872,10,0,10,11.9,21.9,0.122,NA,47.318908690000001,18859.770418220003,NA,NA,3,10716322,99.1600036621094,1.6,102.052360534668,High income,Europe
Guatemala,NA,100,85,100,549061.88,78.9,60.6,200,95,74.42397560975611,77.365,51.1,22.9,0.651,9,1,8,26.9,56.7,0.492,63.362686159999996,12.107462879999998,4470.9667983899999,NA,NA,8,16604026,94.354248046875,24.4,51.4381790161133,Upper middle income,Americas
Guinea,NA,NA,100,NA,585448.9349,120.0,8.7,1900,576,61.962,62.507,36.1,18,0.466,4,0,4,32.2,82.4,NA,78.116813660000005,17.219434740000004,817.83660480999993,34741.64,12830.210000000001,18,12771246,46.295051574707,70.9,NA,Low income,Africa
Guinea-Bissau,70,0,85,50,555105.5766,106.4,16,1000,667,58.634,60.524,43.4,18.8,0.461,7,1,6,37.4,77.2,NA,NA,19.714944840000001,723.60911733,NA,NA,17,1920922,60.4023513793945,85.4,NA,Low income,Africa
Guyana,75,100,70,100,505145.6919,73.7,33.9,100,169,70.023,73.219,26.6,26.7,0.67,8,1,7,18.3,43.2,0.492,76.117446900000019,34.671089170000002,4661.3451144699993,3143.873,528.38,8,782766,96.6896667480469,NA,NA,Upper middle income,Americas
Haiti,65,0,85,0,600494.4676,54.8,34.3,1700,480,64.315,66.506,55.3,24,0.503,6,1,5,40,53.8,0.62,58.707702640000001,18.184814449999998,775.97253213999988,587.58500000000004,7.4370000000000003,11,11263077,82.9942474365234,NA,NA,Low income,Americas
Honduras,NA,0,60,0,584118.5435,88.7,73.2,200,65,75.448,77.723,57.1,24.3,0.623,7,0,7,25,49.9,0.479,NA,26.899200439999994,2493.3205284099995,NA,NA,7,9746117,96.5158386230469,32.1,NA,Lower middle income,Americas
India,NA,0,100,0,533937.0367,10.7,53.5,NA,145,69.887,71.202,34,28.4,0.647,9,0,9,16.8,40.5,0.501,44.184745790000001,28.417591089999995,1960.2231890500002,NA,NA,11,1366417754,91.6640396118164,61.7,74.954963684082,Lower middle income,South-East Asia
Iran,NA,0,100,0,520080.8705,33.2,77.4,1000,16,76.87,78.088,74.9,32,0.797,0,7,-7,11.3,35.3,0.492,NA,19.34882545,5490.7430191099993,NA,NA,9,82913906,98.1013488769531,2.7,NA,Upper middle income,Eastern Mediterranean
Iraq,39,0,27,0,535544.0678,82.1,52.8,NA,79,70.748,72.815,70.5,21,0.689,6,0,6,19.4,65.9,0.54,NA,34.998607640000003,5047.5729728999995,NA,NA,18,39309783,93.5,14.8,NA,Upper middle income,Eastern Mediterranean
Japan,83,100,100,100,441726.9646,3.4,39.8,NA,5,84.64929268292684,87.808,91.6,48.4,0.915,10,0,10,3.6,21.3,0.099,NA,38.894382480000004,38121.908688359996,NA,NA,1,126264931,NA,0.9,NA,High income,Western Pacific
Kazakhstan,63,0,67,0,423099.0163,25.6,54.8,1000,10,73.57102439024392,77.875,57.4,30.7,0.817,0,6,-6,7.1,44.4,0.203,55.581237790000003,24.655771259999998,8947.6157685100006,NA,NA,9,18513930,99.8973617553711,0.3,114.718070983887,Upper middle income,Europe
Kyrgyzstan,73,100,70,94,357868.6956,33.9,42,NA,60,71.54021951219514,75.731,36.4,26,0.674,8,0,8,9.5,51.2,0.381,67.460456849999986,37.941585539999998,1274.2415335200001,1854.1189999999999,NA,12,NA,NA,NA,NA,Lower middle income,Europe
Laos,96,100,100,100,512288.4232,83.4,54.1,500,185,68.219,70.061,35,24.4,0.604,0,7,-7,24.8,51.5,0.463,78.171195979999993,21.968894960000004,2457.3773353500005,329679.022,20193.862000000001,12,7169455,NA,56.8,65.0222015380859,Lower middle income,Western Pacific
Latvia,70,100,33,100,449782.6496,16.1,NA,100,19,75.13624390243902,80.124,68.1,43.9,0.854,8,0,8,8.8,25,0.169,41.018630979999998,37.805877690000003,15621.30993883,NA,NA,0,1912789,99.8199996948242,1.5,108.584571838379,High income,Europe
Liberia,NA,0,85,0,639078.1934,150.3,31.2,1000,661,64.423,65.831,51.2,19.4,0.465,8,1,7,31.8,73.9,0.651,67.718345639999995,33.37393569999999,694.01209576000008,1273.7450000000001,893.94799999999998,12,4937374,55.3987007141113,75.6,NA,Low income,Africa
Libya,33,0,0,0,536857.6025,10.9,27.7,100,72,73.082,76.105,80.1,28.8,0.708,-77,-77,-77,NA,42.1,0.172,NA,NA,NA,NA,NA,14,6777452,NA,NA,NA,Upper middle income,Eastern Mediterranean
Lithuania,88,100,85,100,456563.4602,12.6,NA,100,8,75.87165853658537,81.514,67.7,45.1,0.869,10,0,10,10.5,22.8,0.124,48.603412630000001,33.089416499999999,16696.377301509998,NA,NA,1,2786844,99.8557968139648,1.5,106.193626403809,High income,Europe
Malawi,76,100,93,100,654351.3671,137.6,59.2,12000,349,64.694,67.85,16.9,18.1,0.485,6,0,6,28.6,82.1,0.615,NA,30.247175219999995,334.35543056999995,13963.847,NA,13,18628747,72.9356079101563,89.6,39.918571472168,Low income,Africa
Malaysia,81,100,85,100,485174.7763,9.3,52.2,1900,29,76.306,78.458,76,30.3,0.804,7,0,7,NA,34.6,0.274,NA,21.869097649999993,9951.4497621400005,NA,NA,3,31949777,96.8503265380859,0.2,85.4141311645508,Upper middle income,Western Pacific
Maldives,45,100,0,81,467043.763,8.9,34.7,NA,53,79.208,81.036,39.8,29.9,0.719,NA,NA,NA,20.4,26.5,0.367,NA,29.628938669999997,11151.068612799998,NA,NA,NA,530953,98.7536468505859,0.2,85.8450012207031,Upper middle income,South-East Asia
Mali,79,0,93,0,574741.1486,164.0,15.6,NA,562,59.692,60.492,42.4,16.3,0.427,6,1,5,30.4,95.2,0.676,81.799644470000004,22.909677509999998,827.04870558000005,8884.9230000000007,78.287999999999997,15,19658031,50.1347007751465,79.8,36.9953689575195,Low income,Africa
Malta,90,100,100,100,476316.0617,12.5,NA,NA,6,82.59539024390246,84.385,94.6,42.6,0.885,NA,NA,NA,7.9,21.8,0.195,NA,35.755859380000004,27679.735817529996,NA,NA,NA,502653,99.3007125854492,0.2,107.358909606934,High income,Europe
Mauritania,62,0,100,0,548238.0303,84.0,17.8,NA,766,65.129,66.731,53.7,20.1,0.527,0,2,-2,31.8,70.6,0.62,55.878494260000004,28.166452410000005,1108.6861303700002,3698.3779999999997,628.02,16,4525696,63.947811126709,24.1,37.1401786804199,Lower middle income,Africa
Mauritius,73,0,70,0,483279.5092,24.0,63.8,200,61,75.10841463414634,78.577,40.8,37.5,0.796,10,0,10,13.6,25.2,0.369,45.884181980000008,24.592044829999999,10486.606964130002,810.25300000000004,58.222000000000001,0,1265711,99.0420303344727,2.2,97.7666625976563,Upper middle income,Africa
Mexico,NA,100,100,94,484013.0247,70.5,66.9,NA,33,75.131,77.934,80.2,29.2,0.767,8,0,8,21.7,40.1,0.334,43.692199710000004,25.720029829999998,8967.170008680001,NA,NA,5,127575529,99.3184509277344,7.8,109.587608337402,Upper middle income,Americas
Montenegro,52,0,37,0,435407.28,10.0,23.3,100,6,76.94297560975609,79.422,66.8,38.8,0.816,9,0,9,8.5,27.3,0.119,NA,NA,NA,NA,NA,2,622137,99.1100006103516,8,90.524299621582,Upper middle income,Europe
Mozambique,94,100,100,100,555661.3424,180.0,27.1,53000,289,61.387,64.211,36,17.6,0.446,6,1,5,30.7,85.2,0.569,NA,31.63709068,426.43817670999999,NA,NA,11,30366036,70.9124526977539,82.4,NA,Low income,Africa
Myanmar,82,100,100,100,490014.4974,28.0,52.2,5500,250,67.363,70.342,30.6,29,0.584,8,0,8,23.2,38.9,0.459,NA,19.74446923,1245.82641081,NA,NA,18,54045420,84.7511596679688,15,71.2975311279297,Lower middle income,South-East Asia
Namibia,96,100,100,100,588898.6777,63.9,56.1,2000,195,64.045,66.853,50,21.8,0.645,6,0,6,33.6,62.1,0.46,57.548095699999998,37.040435790000004,5230.7672535300007,1214.9829999999999,43.4,5,2494530,95.1649017333984,30.3,NA,Upper middle income,Africa
Nepal,48,0,67,0,511311.2706,88.2,52.6,200,186,71.067,72.51,19.7,24.6,0.579,8,1,7,24.9,47.6,0.476,49.062545780000001,27.521228789999999,862.8276363299999,1644.3229999999999,169.56200000000001,9,28608710,92.3938064575195,50.8,NA,Low income,South-East Asia
Netherlands,98,100,100,100,477599.7976,2.9,73,100,5,82.375756097561,84.066,91.5,43.3,0.934,10,0,10,6.7,24.9,0.041,32.732376100000003,42.502658839999995,48624.106349670001,NA,NA,0,17332850,NA,0.3,135.008316040039,High income,Europe
New Zealand,94,100,100,100,476625.4164,13.8,NA,100,9,82.38058536585366,84.099,86.5,38,0.921,10,0,10,9.1,30.4,0.133,NA,35.873516080000002,42935.640448539998,NA,NA,2,4917000,NA,NA,118.160430908203,High income,Western Pacific
Niger,NA,100,100,100,594170.9263,154.0,11,200,509,62.792,64.01,16.4,15.2,0.377,6,1,5,27.4,105.4,0.647,60.541831970000011,26.808124540000001,378.05933556999997,7792.9519999999993,5642.6659999999993,19,23310715,43.4599990844727,77.2,NA,Low income,Africa
Nigeria,NA,100,100,100,483208.5176,106.0,27.6,28000,917,55.018,55.969,50.3,18.1,0.534,8,1,7,34.5,82.2,NA,69.34548187,11.575871470000001,1968.4255238799997,48469.8,510.70799999999997,18,200963599,75.0287475585938,71,NA,Lower middle income,Africa
Pakistan,65,0,100,0,562398.6999,46.0,34.2,5600,140,67.428,68.464,36.7,22.8,0.56,7,0,7,30.2,58.4,0.547,56.807952879999995,21.276485440000002,1538.4131875600001,NA,NA,15,216565318,74.5263824462891,35.1,39.1479911804199,Lower middle income,Eastern Mediterranean
Peru,NA,100,93,100,588775.3259,44.0,75.4,500,88,76.947,79.714,77.9,31,0.759,9,0,9,19.1,39,0.381,NA,21.241369249999998,6657.8756702500004,NA,NA,6,32510453,99.0237579345703,9.9,103.639091491699,Upper middle income,Americas
Philippines,75,100,53,100,558165.86,39.0,54.1,7300,121,71.36,75.623,46.9,25.7,0.712,8,0,8,17.8,48.4,0.425,51.894134520000001,19.91103554,2988.951689,NA,NA,14,108116615,99.0826034545898,25.8,88.6372528076172,Lower middle income,Western Pacific
Moldova,NA,100,67,NA,435499.3641,21.4,59.5,100,19,71.88653658536586,76.253,42.6,37.6,0.711,9,0,9,10.3,21.8,0.228,NA,30.64774895,2726.1815430800002,NA,NA,8,2657637,99.8110122680664,1,86.453369140625,Lower middle income,Europe
Romania,NA,0,NA,0,459772.7588,38.1,NA,100,19,76.11348780487805,79.642,54,43.2,0.816,9,0,9,10.8,23.5,0.316,36.164657589999997,33.62890625,10762.24807207,NA,NA,3,19356544,99.4291915893555,6.3,89.1825866699219,Upper middle income,Europe
Russian Federation,NA,0,100,0,475349.3846,21.5,68,NA,17,72.49631707317073,77.922,74.4,39.6,0.824,5,1,4,9.6,26.6,0.255,54.575897220000002,34.737083439999999,10962.01042658,NA,NA,9,144373535,99.6984481811523,0.4,102.168159484863,Upper middle income,Europe
Saint Lucia,NA,100,70,100,NA,NA,NA,NA,NA,NA,NA,18.7,34.5,0.745,NA,NA,NA,16.8,25.9,0.333,NA,24.902803419999994,10120.551989439999,NA,NA,NA,NA,NA,NA,NA,Upper middle income,Americas
Saint Vincent and the Grenadines,81,100,93,100,NA,NA,NA,NA,NA,NA,NA,52.2,32.9,0.728,NA,NA,NA,NA,33.2,NA,NA,30.518869400000007,7144.7372101600004,NA,NA,NA,NA,NA,NA,NA,Upper middle income,Americas
Sao Tome and Principe,54,100,0,50,543741.4175,92.0,40.6,NA,130,70.583,73.029,72.8,18.6,0.609,NA,NA,NA,16.7,77.9,0.547,NA,26.398403169999995,1921.2810861099999,56690.759999999995,3970.7949999999996,NA,215056,97.7825469970703,65.4,NA,Lower middle income,Africa
Saudi Arabia,NA,NA,100,NA,492881.549,8.7,24.6,NA,17,75.28,76.919,83.8,31.8,0.857,0,10,-10,NA,35,0.224,NA,38.681499480000006,19982.099838799997,NA,NA,8,34268528,99.3018798828125,NA,106.822601318359,High income,Eastern Mediterranean
Senegal,NA,0,22,0,580495.3182,77.5,27.8,500,315,68.213,70.203,47.2,18.5,0.514,7,0,7,31.6,79.9,0.523,66.363143919999999,22.305467610000001,1330.74968752,15164.970000000001,499.04499999999996,10,16296364,69.4784088134766,68.4,NA,Low income,Africa
Serbia,86,100,100,50,441716.9818,15.2,58.4,100,12,76.09063414634146,78.752,56.1,41.6,0.799,9,1,8,10.9,23.8,0.162,NA,40.135089869999995,6266.8694243000009,NA,NA,3,6944975,99.7198181152344,8.9,95.5646591186523,Upper middle income,Europe
Sierra Leone,65,0,100,0,556228.5143,101.3,22.5,1800,1120,55.066,55.875,42.1,19.4,0.438,8,1,7,34.6,73.4,0.644,NA,23.305507659999996,494.76595671999996,NA,NA,13,7813215,66.6485977172852,76,NA,Low income,Africa
Slovenia,NA,NA,100,NA,455624.9387,4.1,NA,NA,7,81.39834146341464,84.156,54.5,44.5,0.902,10,0,10,4.7,23,0.069,41.461486820000012,43.173091890000009,23455.204558760008,NA,NA,0,2087946,99.8000030517578,0,115.907737731934,High income,Europe
Somalia,NA,0,0,0,589107.0659,123.0,NA,100,829,57.697,59.443,45,16.7,NA,5,0,5,NA,92.1,NA,NA,NA,NA,NA,NA,20,15442905,NA,NA,NA,Low income,Eastern Mediterranean
South Africa,95,100,85,100,525165.2558,40.9,54.6,70000,119,64.379,67.93,66.4,27.6,0.705,9,0,9,31.4,44.3,0.422,NA,32.632942199999995,6153.4604417599994,NA,NA,8,58558270,95.3238220214844,37.3,103.968086242676,Upper middle income,Africa
South Sudan,16,0,7,44,657024.0043,158.1,4,5300,1150,58.095,59.64,19.6,19,0.413,-77,-77,-77,36,76.3,NA,71.720764159999987,39.123569489999994,234.49017952000003,252.38400000000001,NA,22,11062113,47.9009590148926,67,NA,Low income,Africa
Sri Lanka,89,100,100,100,469174.5252,21.0,61.7,100,36,77.00826829268293,80.399,18.5,34,0.78,7,1,6,11.8,37,0.38,38.09249878,19.321199419999999,4184.3912744199997,34306.240000000005,3156.8129999999996,11,21803000,98.7819366455078,10.8,102.632118225098,Lower middle income,South-East Asia
