country,hiv_rate,pregnancy_rate,contracept_prev,youth_hiv,matern_mort,total_life_exp,female_life_exp
Afghanistan,627050.2347,62.0,22.5,500,638,65.173,66.744
Albania,444447.2048,15.9,46,100,15,78.67178048780488,80.256
Algeria,501108.2496,9.7,57.1,500,112,77.063,78.321
Angola,704791.0262,163.0,13.7,9000,241,61.487,64.383
Antigua and Barbuda,498399.1011,27.7,NA,NA,42,77.146,78.232
Argentina,470554.2493,54.4,81.3,1100,39,76.68158536585366,80.122
Armenia,429057.6941,21.2,57.1,100,26,75.224,78.652
Australia,449834.7714,10.1,66.9,100,6,83.5479512195122,85.524
Austria,497594.6574,6.7,65.7,NA,5,81.59146341463415,83.945
Azerbaijan,379163.5616,45.0,54.9,100,26,73.04170731707318,75.574
Bahamas,496099.4194,29.0,NA,NA,70,74.053,76.228
Bahrain,481415.0691,13.6,NA,NA,14,77.419,78.557
Bangladesh,575212.7055,74.0,62.3,NA,173,72.868,74.893
Barbados,490633.1266,49.7,59.2,100,27,79.308,80.579
Belarus,436095.4776,14.2,72.1,200,2,74.64902439024392,79.688
Belgium,488710.0915,5.9,66.8,NA,5,81.70673170731709,84.007
Belize,501902.1311,64.3,51.4,NA,36,74.754,77.991
Benin,557419.8069,108.0,15.5,1100,397,62.077,63.646
Bhutan,552760.7293,28.4,65.6,NA,183,72.08,72.524
Bolivia,547847.012,71.0,66.5,200,155,71.771,74.78
Bosnia and Herzegovina,440611.6094,11.0,45.8,NA,10,77.545,79.991
Botswana,541408.5187,50.0,52.8,3200,144,69.793,72.604
Brazil,500259.9247,52.7,80.2,NA,60,76.084,79.736
Brunei,461008.8147,9.8,NA,NA,31,75.998,77.256
Bulgaria,450673.0006,38.2,NA,100,10,75.14341463414635,78.78
Burkina Faso,623880.1328,132.3,31.7,1000,320,61.981,62.724
Burundi,534435.3979,58.2,28.5,500,548,61.916,63.721
Cambodia,489663.8513,57.4,56.3,200,160,70.054,72.163
Cameroon,642422.9319,119.0,34.4,5400,529,59.626,60.904
Canada,499823.63,7.7,NA,NA,10,82.50699999999999,84.481
Cape Verde,485207.7386,80.0,NA,100,58,73.166,76.384
Central African Republic,750449.6452,229.0,15.2,1700,829,53.679,55.932
Chad,665438.1378,179.4,5.7,1700,1140,54.505,55.945
Chile,460268.4188,26.4,76.3,1000,13,80.329,82.522
China,414911.0224,9.2,84.5,NA,29,77.12763414634146,79.411
Colombia,573437.6657,61.0,81,1400,83,77.46,80.173
Comoros,570431.6542,70.3,19.4,100,273,64.525,66.341
Congo,645597.084,111.3,30.1,2500,378,64.804,66.287
Costa Rica,521663.6415,50.4,77.8,200,27,80.465,83.045
Cote d'Ivoire,601722.8618,123.3,23.3,2800,617,58.104,59.455
Croatia,439072.6072,9.1,NA,100,8,78.51734146341465,81.716
Cuba,472030.2283,52.0,73.7,500,36,78.892,80.862
Cyprus,491792.4331,4.4,NA,NA,6,81.135,83.151
Czech Republic,465171.664,12.1,86.3,NA,3,79.43760975609757,82.058
Democratic Republic of the Congo,656145.1086,138.1,20.4,6700,473,60.971,62.54
Denmark,494481.341,2.8,NA,NA,4,80.98724390243902,82.972
Djibouti,519075.9747,21.0,19,100,248,67.49,69.766
Dominican Republic,508220.2754,51.0,69.5,1000,95,74.257,77.549
Ecuador,543697.655,71.1,80.1,500,59,77.216,80.023
Egypt,481266.9882,51.8,58.5,1000,37,72.15,74.53
El Salvador,554836.026,74.0,72,200,46,73.533,78.037
Equatorial Guinea,668516.3293,176.0,12.6,1200,301,59.057,60.25
Eritrea,577784.1993,76.0,8.4,100,480,66.679,68.924
Estonia,449512.6909,10.5,NA,NA,9,78.598756097561,82.83
Ethiopia,551751.2785,79.5,40.1,4500,401,66.953,68.905
Fiji,559559.7703,23.1,NA,100,34,67.561,69.498
Finland,505575.8508,4.9,85.5,NA,3,82.00736585365856,84.848
France,482972.697,8.6,78.4,NA,8,82.6576829268293,85.569
Gabon,648306.6611,91.0,31.1,500,252,66.69,68.931
Gambia,488945.0974,86.0,9,500,597,62.383,63.827
Georgia,368474.3048,32.3,53.4,NA,25,73.78360975609756,78.273
Germany,489392.5461,5.7,80.3,NA,7,81.43041463414635,83.849
Ghana,556534.122,75.1,33,5600,308,64.347,65.477
Greece,485534.3659,8.6,NA,NA,3,82.34360975609756,84.796
Grenada,528040.5145,35.9,NA,NA,25,72.426,74.984
Guam,639472.6973,NA,NA,NA,NA,80.277,83.705
Guatemala,549061.88,78.9,60.6,200,95,74.42397560975611,77.365
Guinea,585448.9349,120.0,8.7,1900,576,61.962,62.507
Guinea-Bissau,555105.5766,106.4,16,1000,667,58.634,60.524
Guyana,505145.6919,73.7,33.9,100,169,70.023,73.219
Haiti,600494.4676,54.8,34.3,1700,480,64.315,66.506
Honduras,584118.5435,88.7,73.2,200,65,75.448,77.723
Hungary,478815.7671,22.9,61.6,NA,12,76.83548780487806,80.427
Iceland,493252.3096,6.0,NA,NA,4,83.1028292682927,84.601
India,533937.0367,10.7,53.5,NA,145,69.887,71.202
Indonesia,556878.7602,36.0,61,NA,177,71.908,74.173
Iran,520080.8705,33.2,77.4,1000,16,76.87,78.088
Iraq,535544.0678,82.1,52.8,NA,79,70.748,72.815
Ireland,494791.4816,7.2,73.3,NA,5,82.42524390243902,84.053
Israel,510941.5471,9.9,NA,NA,3,83.03368292682929,84.622
Italy,471564.0484,4.4,65.1,500,2,83.5347804878049,85.665
Jamaica,473115.2896,51.7,72.5,500,80,74.586,76.249
Japan,441726.9646,3.4,39.8,NA,5,84.64929268292684,87.808
Jordan,432126.9864,27.0,51.8,NA,46,74.655,76.445
Kazakhstan,423099.0163,25.6,54.8,1000,10,73.57102439024392,77.875
Kenya,618405.2515,96.0,60.5,14000,342,66.991,69.352
Kiribati,590998.7184,49.0,22.3,NA,92,68.611,72.568
Kuwait,491406.7258,6.3,NA,NA,12,75.586,76.706
Kyrgyzstan,357868.6956,33.9,42,NA,60,71.54021951219514,75.731
Laos,512288.4232,83.4,54.1,500,185,68.219,70.061
Latvia,449782.6496,16.1,NA,100,19,75.13624390243902,80.124
Lebanon,518844.6495,13.3,54.5,100,29,79.004,80.934
Lesotho,581786.6423,94.0,60.2,3700,544,54.836,58.087
Liberia,639078.1934,150.3,31.2,1000,661,64.423,65.831
Libya,536857.6025,10.9,27.7,100,72,73.082,76.105
Lithuania,456563.4602,12.6,NA,100,8,75.87165853658537,81.514
Luxembourg,496520.1865,4.0,NA,NA,5,82.3558048780488,84.464
Macedonia,440393.2616,15.1,40.2,NA,7,75.918,77.968
Madagascar,602905.02,152.0,47.9,1000,335,67.39,69.051
Malawi,654351.3671,137.6,59.2,12000,349,64.694,67.85
Malaysia,485174.7763,9.3,52.2,1900,29,76.306,78.458
Maldives,467043.763,8.9,34.7,NA,53,79.208,81.036
Mali,574741.1486,164.0,15.6,NA,562,59.692,60.492
Malta,476316.0617,12.5,NA,NA,6,82.59539024390246,84.385
Mauritania,548238.0303,84.0,17.8,NA,766,65.129,66.731
Mauritius,483279.5092,24.0,63.8,200,61,75.10841463414634,78.577
Mexico,484013.0247,70.5,66.9,NA,33,75.131,77.934
Micronesia,569249.7531,44.0,NA,NA,88,68.002,69.735
Moldova,435499.3641,21.4,59.5,100,19,71.88653658536586,76.253
Mongolia,402150.2304,32.6,54.6,100,45,70.056,74.326
Montenegro,435407.28,10.0,23.3,100,6,76.94297560975609,79.422
Morocco,539781.5399,19.0,70.8,500,70,76.901,78.118
Mozambique,555661.3424,180.0,27.1,53000,289,61.387,64.211
Myanmar,490014.4974,28.0,52.2,5500,250,67.363,70.342
Namibia,588898.6777,63.9,56.1,2000,195,64.045,66.853
Nepal,511311.2706,88.2,52.6,200,186,71.067,72.51
Netherlands,477599.7976,2.9,73,100,5,82.375756097561,84.066
New Zealand,476625.4164,13.8,NA,100,9,82.38058536585366,84.099
Nicaragua,521954.5927,92.0,80.4,100,98,74.697,78.185
Niger,594170.9263,154.0,11,200,509,62.792,64.01
Nigeria,483208.5176,106.0,27.6,28000,917,55.018,55.969
North Korea,459053.5028,1.0,78.2,NA,89,72.453,75.932
Norway,548801.4461,2.9,NA,NA,2,82.50882926829269,84.49
Oman,500498.1937,11.7,29.7,100,19,78.078,80.534
Pakistan,562398.6999,46.0,34.2,5600,140,67.428,68.464
Panama,566912.764,75.9,62.8,NA,52,78.68,81.901
Papua New Guinea,587568.5123,68.0,NA,1000,145,64.725,66.058
Paraguay,557678.3489,72.0,68.4,500,84,74.363,76.524
Peru,588775.3259,44.0,75.4,500,88,76.947,79.714
Philippines,558165.86,39.0,54.1,7300,121,71.36,75.623
Poland,442287.6111,11.1,62.3,NA,2,78.77963414634146,82.722
Portugal,470762.4182,8.0,73.9,NA,8,82.05212195121952,84.987
Qatar,451603.637,8.5,37.5,NA,9,80.363,82.146
Romania,459772.7588,38.1,NA,100,19,76.11348780487805,79.642
Russian Federation,475349.3846,21.5,68,NA,17,72.49631707317073,77.922
Rwanda,572587.1319,41.0,53.2,1500,248,69.329,71.456
Samoa,582774.0567,39.2,26.9,NA,43,73.45,75.606
Sao Tome and Principe,543741.4175,92.0,40.6,NA,130,70.583,73.029
Saudi Arabia,492881.549,8.7,24.6,NA,17,75.28,76.919
Senegal,580495.3182,77.5,27.8,500,315,68.213,70.203
Serbia,441716.9818,15.2,58.4,100,12,76.09063414634146,78.752
Seychelles,477545.4394,68.3,NA,NA,53,73.63231707317075,77.462
Sierra Leone,556228.5143,101.3,22.5,1800,1120,55.066,55.875
Singapore,445979.5578,2.5,NA,100,8,83.72865853658539,85.864
Slovakia,454088.9291,26.8,NA,NA,5,77.55446341463416,81.084
Slovenia,455624.9387,4.1,NA,NA,7,81.39834146341464,84.156
Solomon Islands,599227.6981,78.0,29.3,NA,104,73.132,75.014
Somalia,589107.0659,123.0,NA,100,829,57.697,59.443
South Africa,525165.2558,40.9,54.6,70000,119,64.379,67.93
South Korea,438428.3153,1.0,79.6,NA,11,83.04102439024392,86.106
South Sudan,657024.0043,158.1,4,5300,1150,58.095,59.64
Spain,474399.8054,7.1,70.9,1000,4,83.6009756097561,86.374
Sri Lanka,469174.5252,21.0,61.7,100,36,77.00826829268293,80.399
Sudan,601819.3781,86.8,12.2,1000,295,65.53,67.429
Suriname,508090.2086,56.7,47.6,100,120,71.802,75.195
Swaziland,570900.0651,NA,66.1,2000,437,60.721,65.411
Sweden,511871.0176,4.6,NA,NA,4,82.90119512195123,84.678
Switzerland,489115.7229,2.4,72.9,NA,5,83.83717073170732,85.72
Syrian Arab Republic,521191.1121,54.0,53.9,100,31,73.651,78.419
Tajikistan,368932.1125,54.3,29.3,500,17,71.301,73.599
Tanzania,582583.1133,138.9,38.4,24000,524,65.815,67.587
Thailand,453795.884,37.8,78.4,2700,37,77.344,81.062
Timor-Leste,519984.5593,41.9,26.1,100,142,69.712,71.869
Togo,619328.4516,88.7,19.9,1200,396,61.34,62.239
Tonga,571485.0978,30.0,34.1,NA,52,71.018,73.019
Trinidad and Tobago,472637.0176,38.0,40.3,100,67,73.628,76.352
Tunisia,491751.4316,4.0,62.5,100,43,76.891,78.903
Turkey,520253.736,20.9,73.5,NA,17,77.928,80.769
Turkmenistan,370364.3443,28.0,50.2,NA,7,68.313,71.852
Uganda,672912.6402,131.5,41.8,20000,375,63.713,66.001
Ukraine,457822.5992,19.1,65.4,1300,19,71.97465853658537,76.966
United Arab Emirates,466542.7709,5.4,NA,NA,3,78.12,79.458
United Kingdom,524092.2485,12.4,84,NA,7,81.37129268292684,83.06
United States,503023.3179,18.8,75.9,NA,19,78.85158536585368,81.452
Uruguay,441084.083,35.8,79.6,NA,17,78.056,81.595
Uzbekistan,352105.7156,18.9,NA,1000,29,71.78041463414635,73.968
Vanuatu,570533.8014,51.2,49,NA,72,70.623,72.322
Venezuela,595032.9264,94.5,75,1900,125,72.066,76
Vietnam,441197.1039,30.1,75.7,1000,43,75.493,79.609
Yemen,694467.8714,67.2,33.5,200,164,66.181,67.885
Zambia,651578.9719,135.0,49,19000,213,64.194,67.236
Zimbabwe,588820.5284,77.6,66.8,13000,458,61.738,63.164
